ID,epidural,intraparenchymal,subarachnoid
test_0,0.05682373,0.29785156,0.56396484
test_1,0.51416016,0.2541504,0.7495117
test_2,0.4921875,0.097961426,0.021408081
test_3,0.07849121,0.13452148,0.07562256
test_5,0.012924194,0.37573242,0.71484375
test_6,0.15917969,0.46801758,0.105773926
test_7,0.23571777,0.14672852,0.73828125
test_8,0.84277344,0.92333984,0.10070801
test_9,0.022384644,0.5761719,0.42871094
test_10,0.89990234,0.031677246,0.02848816
test_11,0.93359375,0.026107788,0.038909912
test_12,0.08404541,0.1463623,0.16125488
test_13,0.008277893,0.08251953,0.16931152
test_14,0.07006836,0.45239258,0.18054199
test_15,0.2998047,0.6152344,0.11395264
test_16,0.14672852,0.44067383,0.25219727
test_17,0.87353516,0.10614014,0.88183594
test_18,0.11657715,0.20153809,0.8305664
test_19,0.009414673,0.17382812,0.9165039
test_20,0.09875488,0.8769531,0.984375
test_21,0.97265625,0.99609375,0.5473633
test_22,0.022583008,0.20935059,0.37817383
test_23,0.296875,0.119384766,0.16967773
test_24,0.21569824,0.046661377,0.1463623
test_25,0.13232422,0.14916992,0.1439209
test_26,0.81152344,0.44726562,0.7055664
test_27,0.80908203,0.0703125,0.3137207
test_28,0.9301758,0.47094727,0.9604492
test_29,0.26098633,0.072509766,0.9970703
test_30,0.021575928,0.9589844,0.640625
test_31,0.033843994,0.05886841,0.14538574
test_32,0.43359375,0.0770874,0.1743164
test_33,0.18066406,0.93603516,0.984375
test_34,0.05709839,0.11315918,0.10650635
test_35,0.98828125,0.006877899,0.006340027
test_36,0.046875,0.3293457,0.10015869
test_37,0.064208984,0.032592773,0.029296875
test_38,0.035003662,0.31567383,0.46411133
test_39,0.09942627,0.27148438,0.23620605
test_40,0.9707031,0.109313965,0.48657227
test_41,0.028640747,0.31958008,0.12188721
test_42,0.018447876,0.043121338,0.06903076
test_43,0.049560547,0.06335449,0.96533203
test_44,0.13598633,0.43164062,0.46704102
test_45,0.07531738,0.98535156,0.90283203
test_46,0.13720703,0.4025879,0.37670898
test_47,0.26098633,0.029190063,0.07879639
test_48,0.68066406,0.083740234,0.01777649
test_49,0.07739258,0.08947754,0.6230469
test_50,0.012771606,0.061645508,0.1496582
test_51,0.0960083,0.88134766,0.8520508
test_52,0.06225586,0.05532837,0.22338867
test_53,0.043762207,0.8588867,0.28686523
test_54,0.019607544,0.96533203,0.45629883
test_55,0.07354736,0.7583008,0.6826172
test_56,0.010368347,0.22790527,0.7709961
test_57,0.048858643,0.5800781,0.5361328
test_58,0.03567505,0.07879639,0.2064209
test_59,0.0049819946,0.0259552,0.14245605
test_60,0.5683594,0.2553711,0.11376953
test_61,0.08996582,0.23901367,0.7050781
test_62,0.051361084,0.06188965,0.23278809
test_63,0.12805176,0.050445557,0.017990112
test_64,0.9277344,0.0637207,0.14123535
test_65,0.14904785,0.9892578,0.28808594
